count,sensor,date,time,day,month,high_tmp,low_tmp,high_prcp
1284,Flinders Street Station Underpass,2013-01-06,16,Sun,Jan,not,not,none
2216,Melbourne Central,2013-01-06,16,Sun,Jan,not,not,none
1244,Flinders Street Station Underpass,2013-01-06,17,Sun,Jan,not,not,none
2182,Melbourne Central,2013-01-06,17,Sun,Jan,not,not,none
1035,Flinders Street Station Underpass,2013-01-06,18,Sun,Jan,not,not,none
1832,Melbourne Central,2013-01-06,18,Sun,Jan,not,not,none
711,Flinders Street Station Underpass,2013-01-06,19,Sun,Jan,not,not,none
1632,Melbourne Central,2013-01-06,19,Sun,Jan,not,not,none
735,Flinders Street Station Underpass,2013-01-06,20,Sun,Jan,not,not,none
1414,Melbourne Central,2013-01-06,20,Sun,Jan,not,not,none
616,Flinders Street Station Underpass,2013-01-06,21,Sun,Jan,not,not,none
1310,Melbourne Central,2013-01-06,21,Sun,Jan,not,not,none
669,Flinders Street Station Underpass,2013-01-06,22,Sun,Jan,not,not,none
881,Melbourne Central,2013-01-06,22,Sun,Jan,not,not,none
338,Flinders Street Station Underpass,2013-01-06,23,Sun,Jan,not,not,none
519,Melbourne Central,2013-01-06,23,Sun,Jan,not,not,none
135,Flinders Street Station Underpass,2013-01-07,0,Mon,Jan,not,not,none
232,Melbourne Central,2013-01-07,0,Mon,Jan,not,not,none
45,Flinders Street Station Underpass,2013-01-07,1,Mon,Jan,not,not,none
93,Melbourne Central,2013-01-07,1,Mon,Jan,not,not,none
17,Flinders Street Station Underpass,2013-01-07,2,Mon,Jan,not,not,none
32,Melbourne Central,2013-01-07,2,Mon,Jan,not,not,none
27,Flinders Street Station Underpass,2013-01-07,3,Mon,Jan,not,not,none
21,Melbourne Central,2013-01-07,3,Mon,Jan,not,not,none
16,Flinders Street Station Underpass,2013-01-07,4,Mon,Jan,not,not,none
31,Melbourne Central,2013-01-07,4,Mon,Jan,not,not,none
70,Flinders Street Station Underpass,2013-01-07,5,Mon,Jan,not,not,none
49,Melbourne Central,2013-01-07,5,Mon,Jan,not,not,none
201,Flinders Street Station Underpass,2013-01-07,6,Mon,Jan,not,not,none
105,Melbourne Central,2013-01-07,6,Mon,Jan,not,not,none
870,Flinders Street Station Underpass,2013-01-07,7,Mon,Jan,not,not,none
301,Melbourne Central,2013-01-07,7,Mon,Jan,not,not,none
2012,Flinders Street Station Underpass,2013-01-07,8,Mon,Jan,not,not,none
706,Melbourne Central,2013-01-07,8,Mon,Jan,not,not,none
987,Flinders Street Station Underpass,2013-01-07,9,Mon,Jan,not,not,none
701,Melbourne Central,2013-01-07,9,Mon,Jan,not,not,none
754,Flinders Street Station Underpass,2013-01-07,10,Mon,Jan,not,not,none
984,Melbourne Central,2013-01-07,10,Mon,Jan,not,not,none
1040,Flinders Street Station Underpass,2013-01-07,11,Mon,Jan,not,not,none
627,Melbourne Central,2013-01-07,11,Mon,Jan,not,not,none
1893,Flinders Street Station Underpass,2013-01-07,12,Mon,Jan,not,not,none
1827,Melbourne Central,2013-01-07,12,Mon,Jan,not,not,none
1998,Flinders Street Station Underpass,2013-01-07,13,Mon,Jan,not,not,none
2539,Melbourne Central,2013-01-07,13,Mon,Jan,not,not,none
1377,Flinders Street Station Underpass,2013-01-07,14,Mon,Jan,not,not,none
2298,Melbourne Central,2013-01-07,14,Mon,Jan,not,not,none
1229,Flinders Street Station Underpass,2013-01-07,15,Mon,Jan,not,not,none
2274,Melbourne Central,2013-01-07,15,Mon,Jan,not,not,none
1596,Flinders Street Station Underpass,2013-01-07,16,Mon,Jan,not,not,none
2516,Melbourne Central,2013-01-07,16,Mon,Jan,not,not,none
2497,Flinders Street Station Underpass,2013-01-07,17,Mon,Jan,not,not,none
2780,Melbourne Central,2013-01-07,17,Mon,Jan,not,not,none
1389,Flinders Street Station Underpass,2013-01-07,18,Mon,Jan,not,not,none
2239,Melbourne Central,2013-01-07,18,Mon,Jan,not,not,none
882,Flinders Street Station Underpass,2013-01-07,19,Mon,Jan,not,not,none
1720,Melbourne Central,2013-01-07,19,Mon,Jan,not,not,none
702,Flinders Street Station Underpass,2013-01-07,20,Mon,Jan,not,not,none
1405,Melbourne Central,2013-01-07,20,Mon,Jan,not,not,none
740,Flinders Street Station Underpass,2013-01-07,21,Mon,Jan,not,not,none
1297,Melbourne Central,2013-01-07,21,Mon,Jan,not,not,none
696,Flinders Street Station Underpass,2013-01-07,22,Mon,Jan,not,not,none
891,Melbourne Central,2013-01-07,22,Mon,Jan,not,not,none
411,Flinders Street Station Underpass,2013-01-07,23,Mon,Jan,not,not,none
498,Melbourne Central,2013-01-07,23,Mon,Jan,not,not,none
172,Flinders Street Station Underpass,2013-01-08,0,Tues,Jan,not,not,none
253,Melbourne Central,2013-01-08,0,Tues,Jan,not,not,none
90,Flinders Street Station Underpass,2013-01-08,1,Tues,Jan,not,not,none
106,Melbourne Central,2013-01-08,1,Tues,Jan,not,not,none
52,Flinders Street Station Underpass,2013-01-08,2,Tues,Jan,not,not,none
49,Melbourne Central,2013-01-08,2,Tues,Jan,not,not,none
16,Flinders Street Station Underpass,2013-01-08,3,Tues,Jan,not,not,none
36,Melbourne Central,2013-01-08,3,Tues,Jan,not,not,none
16,Flinders Street Station Underpass,2013-01-08,4,Tues,Jan,not,not,none
13,Melbourne Central,2013-01-08,4,Tues,Jan,not,not,none
62,Flinders Street Station Underpass,2013-01-08,5,Tues,Jan,not,not,none
53,Melbourne Central,2013-01-08,5,Tues,Jan,not,not,none
222,Flinders Street Station Underpass,2013-01-08,6,Tues,Jan,not,not,none
99,Melbourne Central,2013-01-08,6,Tues,Jan,not,not,none
