stn_id,date,variable,value,X5,X6,X7,X8
ASN00086071,20130503,TMIN,93,NA,NA,a,NA
ASN00086071,20130503,PRCP,0,NA,NA,a,NA
ASN00086071,20130504,TMAX,171,NA,NA,a,NA
ASN00086071,20130504,TMIN,113,NA,NA,a,NA
ASN00086071,20130505,TMAX,151,NA,NA,a,NA
ASN00086071,20130505,TMIN,113,NA,NA,a,NA
ASN00086071,20130506,TMAX,190,NA,NA,a,NA
ASN00086071,20130506,TMIN,57,NA,NA,a,NA
ASN00086071,20130506,PRCP,0,NA,NA,a,NA
ASN00086071,20130507,TMAX,202,NA,NA,a,NA
ASN00086071,20130507,TMIN,72,NA,NA,a,NA
ASN00086071,20130507,PRCP,8,NA,NA,a,NA
ASN00086071,20130508,TMAX,230,NA,NA,a,NA
ASN00086071,20130508,TMIN,105,NA,NA,a,NA
ASN00086071,20130508,PRCP,0,NA,NA,a,NA
ASN00086071,20130509,TMAX,255,NA,NA,a,NA
ASN00086071,20130509,TMIN,135,NA,NA,a,NA
ASN00086071,20130509,PRCP,0,NA,NA,a,NA
ASN00086071,20130510,TMAX,251,NA,NA,a,NA
ASN00086071,20130510,TMIN,127,NA,NA,a,NA
ASN00086071,20130510,PRCP,0,NA,NA,a,NA
ASN00086071,20130511,TMAX,249,NA,NA,a,NA
ASN00086071,20130511,TMIN,135,NA,NA,a,NA
ASN00086071,20130512,TMAX,221,NA,NA,a,NA
ASN00086071,20130512,TMIN,165,NA,NA,a,NA
ASN00086071,20130513,TMAX,170,NA,NA,a,NA
ASN00086071,20130513,TMIN,143,NA,NA,a,NA
ASN00086071,20130513,PRCP,0,NA,NA,a,NA
ASN00086071,20130514,TMAX,136,NA,NA,a,NA
ASN00086071,20130514,TMIN,78,NA,NA,a,NA
ASN00086071,20130514,PRCP,24,NA,NA,a,NA
ASN00086071,20130515,TMAX,161,NA,NA,a,NA
ASN00086071,20130515,TMIN,93,NA,NA,a,NA
ASN00086071,20130515,PRCP,22,NA,NA,a,NA
ASN00086071,20130516,TMAX,160,NA,NA,a,NA
ASN00086071,20130516,TMIN,103,NA,NA,a,NA
ASN00086071,20130516,PRCP,86,NA,NA,a,NA
ASN00086071,20130517,TMAX,164,NA,NA,a,NA
ASN00086071,20130517,TMIN,98,NA,NA,a,NA
ASN00086071,20130517,PRCP,38,NA,NA,a,NA
ASN00086071,20130518,TMAX,153,NA,NA,a,NA
ASN00086071,20130518,TMIN,100,NA,NA,a,NA
ASN00086071,20130519,TMAX,173,NA,NA,a,NA
ASN00086071,20130519,TMIN,91,NA,NA,a,NA
ASN00086071,20130520,TMAX,139,NA,NA,a,NA
ASN00086071,20130520,TMIN,107,NA,NA,a,NA
ASN00086071,20130520,PRCP,2,NA,NA,a,NA
ASN00086071,20130521,TMAX,170,NA,NA,a,NA
ASN00086071,20130521,TMIN,74,NA,NA,a,NA
ASN00086071,20130521,PRCP,52,NA,NA,a,NA
ASN00086071,20130522,TMAX,154,NA,NA,a,NA
ASN00086071,20130522,TMIN,63,NA,NA,a,NA
ASN00086071,20130522,PRCP,0,NA,NA,a,NA
ASN00086071,20130523,TMAX,170,NA,NA,a,NA
ASN00086071,20130523,TMIN,56,NA,NA,a,NA
ASN00086071,20130523,PRCP,0,NA,NA,a,NA
ASN00086071,20130524,TMAX,167,NA,NA,a,NA
ASN00086071,20130524,TMIN,49,NA,NA,a,NA
ASN00086071,20130524,PRCP,0,NA,NA,a,NA
ASN00086071,20130525,TMAX,191,NA,NA,a,NA
ASN00086071,20130525,TMIN,79,NA,NA,a,NA
